age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,487.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,services,single,high.school,no,no,no,telephone,may,fri,346.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,services,married,high.school,no,yes,no,telephone,jun,wed,227.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
38,services,married,basic.9y,no,unknown,unknown,telephone,jun,fri,17.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
47,admin,married,university.degree,no,yes,no,cellular,nov,mon,58.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
32,services,single,university.degree,no,no,no,cellular,sep,thu,128.0,3.0,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
32,admin,single,university.degree,no,yes,no,cellular,sep,mon,290.0,4.0,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
41,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,44.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
31,services,divorced,professional.course,no,no,no,cellular,nov,tue,68.0,1.0,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
35,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,170.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,services,single,basic.6y,unknown,yes,no,cellular,jul,thu,301.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
36,self-employed,single,basic.4y,no,no,no,cellular,jul,thu,148.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
36,admin,married,high.school,no,no,no,telephone,may,wed,97.0,2.0,999,0,nonexistent,1.1,93.994,,4.859,5191,no
47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,211.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
29,admin,single,high.school,no,no,no,cellular,may,fri,553.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
27,services,single,university.degree,no,no,no,cellular,jul,wed,698.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
44,admin,divorced,university.degree,no,no,no,cellular,jul,wed,191.0,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
46,admin,divorced,university.degree,no,yes,no,telephone,jul,mon,59.0,4.0,999,0,nonexistent,1.4,93.918,-42.7 4.962,5228.1,no,
45,entrepreneur,married,university.degree,unknown,yes,yes,cellular,aug,mon,38.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,,5228.1,no
50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,849.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
55,services,married,basic.6y,unknown,yes,no,cellular,jul,tue,326.0,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,222.0,1.0,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
29,technician,single,university.degree,no,yes,yes,cellular,aug,wed,626.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
40,management,married,high.school,no,no,yes,cellular,aug,wed,119.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
44,technician,married,professional.course,unknown,yes,no,telephone,may,fri,388.0,7.0,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
